,A,B,C,D
00:00,0.0,0.0,0.0,0.0
01:00,0.0,0.0,0.0,0.0
02:00,0.0,0.0,0.0,0.0
03:00,0.0,0.0,0.0,0.0
04:00,0.0,0.0,0.0,0.0
05:00,0.0,0.0,0.0,0.0
06:00,0.0,0.0,0.0,0.0
07:00,0.0,0.0,0.0,0.0
08:00,0.0,0.0,0.0,0.0
09:00,0.0,0.0,0.0,0.0
10:00,3.8886868067100306e-10,3.112403889319918e-10,2.592814821471643e-10,2.074748764883212e-10
11:00,6.536441030372807e-09,5.231684015191477e-09,4.358258338221502e-09,3.4874586625597515e-09
12:00,1.0882007953472306e-07,8.70956929932758e-08,7.255608824743998e-08,5.805888729337475e-08
13:00,1.0799804296432149e-06,8.643208393881106e-07,7.200574791036041e-07,5.76176984174201e-07
14:00,0.003681010886767894,0.0029462973405950032,0.0024543835682551197,0.001964000896402074
15:00,0.05655123915959946,0.04525970089227837,0.03770491252845492,0.030170994443743524
16:00,2.52326555288989,2.019398290983934,1.6823420790047336,1.3461790670642324
17:00,10.357372868616844,8.288593972633747,6.905409342299516,5.525471144131335
18:00,15.85629112442351,12.688452209300525,10.571401071357123,8.458686503670634
19:00,8.697902815227254,6.959857063692161,5.798808015459352,4.639797647015688
20:00,1.549100571044384e-08,1.8871908351270578e-07,0.0,3.1212426097614085e-07
21:00,0.0,0.0,0.0,0.0
22:00,0.0,0.0,0.0,0.0
23:00,0.0,0.0,0.0,0.0
